bloque,implementacion,metodo,escenario,semilla,n_inicial,k,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
listas,ListaDobleConCola,erase,medio_nodo_prelocalizado,20260931,10,200,10,61.5,62.0,62.5,64.0,68.0,2.0,63.25
listas,ListaDobleConCola,erase,medio_nodo_prelocalizado,20261021,100,200,10,19.0,22.625,24.75,25.375,31.0,2.75,24.45
listas,ListaDobleConCola,erase,medio_nodo_prelocalizado,20261921,1000,100,10,20.0,21.5,23.0,24.75,28.0,3.25,23.5
listas,ListaDobleConCola,erase,medio_nodo_prelocalizado,20270921,10000,20,10,15.0,20.0,25.0,33.75,70.0,13.75,31.0
listas,ListaDobleConCola,erase,medio_nodo_prelocalizado,20360921,100000,20,10,15.0,17.5,32.5,52.5,70.0,35.0,36.0
listas,ListaDobleSinCola,erase,medio_nodo_prelocalizado,20260931,10,200,10,26.5,27.625,30.0,31.25,70.0,3.625,33.35
listas,ListaDobleSinCola,erase,medio_nodo_prelocalizado,20261021,100,200,10,23.5,24.0,25.0,26.25,62.0,2.25,28.85
listas,ListaDobleSinCola,erase,medio_nodo_prelocalizado,20261921,1000,100,10,39.0,40.5,43.0,45.75,46.0,5.25,43.0
listas,ListaDobleSinCola,erase,medio_nodo_prelocalizado,20270921,10000,20,10,20.0,25.0,27.5,30.0,35.0,5.0,27.5
listas,ListaDobleSinCola,erase,medio_nodo_prelocalizado,20360921,100000,20,10,25.0,31.25,37.5,45.0,65.0,13.75,40.0
listas,ListaSimpleConCola,erase,medio_nodo_prelocalizado,20260931,10,200,10,61.5,128.625,130.75,137.125,168.5,8.5,128.0
listas,ListaSimpleConCola,erase,medio_nodo_prelocalizado,20261021,100,200,10,66.0,68.625,69.5,70.75,76.0,2.125,70.1
listas,ListaSimpleConCola,erase,medio_nodo_prelocalizado,20261921,1000,100,10,534.0,536.5,541.5,545.75,681.0,9.25,557.0
listas,ListaSimpleConCola,erase,medio_nodo_prelocalizado,20270921,10000,20,10,5020.0,5026.25,5030.0,5075.0,6240.0,48.75,5172.0
listas,ListaSimpleConCola,erase,medio_nodo_prelocalizado,20360921,100000,20,10,51470.0,51956.25,52555.0,52930.0,55865.0,973.75,52675.0
listas,ListaSimpleSinCola,erase,medio_nodo_prelocalizado,20260931,10,200,10,121.5,122.625,123.75,128.375,136.0,5.75,125.95
listas,ListaSimpleSinCola,erase,medio_nodo_prelocalizado,20261021,100,200,10,21.0,61.75,70.25,83.75,95.0,22.0,67.15
listas,ListaSimpleSinCola,erase,medio_nodo_prelocalizado,20261921,1000,100,10,545.0,547.0,547.5,549.5,557.0,2.5,548.6
listas,ListaSimpleSinCola,erase,medio_nodo_prelocalizado,20270921,10000,20,10,5040.0,5046.25,5072.5,5088.75,5220.0,42.5,5083.5
listas,ListaSimpleSinCola,erase,medio_nodo_prelocalizado,20360921,100000,20,10,51445.0,51646.25,52007.5,52355.0,54160.0,708.75,52248.0
listas,ListaDobleConCola,find,ausente,20260931,10,200,10,46.5,47.625,49.25,51.5,53.0,3.875,49.55
listas,ListaDobleConCola,find,ausente,20261021,100,200,10,121.0,121.875,123.75,125.375,131.0,3.5,124.6
listas,ListaDobleConCola,find,ausente,20261921,1000,100,10,1100.0,1109.25,1124.0,1141.5,1186.0,32.25,1130.6
listas,ListaDobleConCola,find,ausente,20270921,10000,20,10,10285.0,10375.0,10465.0,10560.0,10700.0,185.0,10469.0
